book,lex,sp,vs,vt,ctyp,ptyp,gloss
2_chr,ו,conj,,,WayX,CP,and
2_chr,חזק,verb,hit,wayq,,VP,be strong
2_chr,שׁלמה,nmpr,,,,PrNP,Solomon
2_chr,בנ,subs,,,,,son
2_chr,דוד,nmpr,,,,,David
2_chr,על,prep,,,,PP,upon
2_chr,מלכות,subs,,,,,kingship
2_chr,ו,conj,,,NmCl,CP,and
2_chr,יהוה,nmpr,,,,PrNP,YHWH
2_chr,אלהימ,subs,,,,,god(s)
2_chr,עמ,prep,,,,PP,with
2_chr,ו,conj,,,Way0,CP,and
2_chr,גדל,verb,piel,wayq,,VP,be strong
2_chr,ל,prep,,,,PP,to
2_chr,מעל,subs,,,,,top
2_chr,ו,conj,,,WayX,CP,and
2_chr,אמר,verb,qal,wayq,,VP,say
2_chr,שׁלמה,nmpr,,,,PrNP,Solomon
2_chr,ל,prep,,,,PP,to
2_chr,כל,subs,,,,,whole
2_chr,ישׂראל,nmpr,,,,,Israel
2_chr,ל,prep,,,,,to
2_chr,שׂר,subs,,,,,chief
2_chr,ה,art,,,,,the
2_chr,אלפ,subs,,,,,thousand
2_chr,ו,conj,,,,,and
2_chr,ה,art,,,,,the
2_chr,מאה,subs,,,,,hundred
2_chr,ו,conj,,,,,and
2_chr,ל,prep,,,,,to
2_chr,ה,art,,,,,the
2_chr,שׁפט,verb,qal,ptca,,,judge
2_chr,ו,conj,,,,,and
2_chr,ל,prep,,,,,to
2_chr,כל,subs,,,,,whole
2_chr,נשׂיא,subs,,,,,chief
2_chr,ל,prep,,,,,to
2_chr,כל,subs,,,,,whole
2_chr,ישׂראל,nmpr,,,,,Israel
2_chr,ראשׁ,subs,,,,,head
2_chr,ה,art,,,,,the
2_chr,אב,subs,,,,,father
2_chr,ו,conj,,,WayX,CP,and
2_chr,הלכ,verb,qal,wayq,,VP,walk
2_chr,שׁלמה,nmpr,,,,PrNP,Solomon
2_chr,ו,conj,,,,,and
2_chr,כל,subs,,,,,whole
2_chr,ה,art,,,,,the
2_chr,קהל,subs,,,,,assembly
2_chr,עמ,prep,,,,,with
2_chr,ל,prep,,,,PP,to
