book,lex,sp,vs,vt,ctyp,ptyp,gloss
2_sam,ו,conj,,,Way0,CP,and
2_sam,היה,verb,qal,wayq,,VP,be
2_sam,אחר,subs,,,,PP,after
2_sam,מות,subs,,,,,death
2_sam,שׁאול,nmpr,,,,,Saul
2_sam,ו,conj,,,WXQt,CP,and
2_sam,דוד,nmpr,,,,PrNP,David
2_sam,שׁוב,verb,qal,perf,,VP,return
2_sam,מנ,prep,,,InfC,VP,from
2_sam,נכה,verb,hif,infc,,,strike
2_sam,את,prep,,,,PP,<object marker>
2_sam,ה,art,,,,,the
2_sam,עמלק,nmpr,,,,,Amalek
2_sam,ו,conj,,,WayX,CP,and
2_sam,ישׁב,verb,qal,wayq,,VP,sit
2_sam,דוד,nmpr,,,,PrNP,David
2_sam,ב,prep,,,,PP,in
2_sam,צקלג,nmpr,,,,,Ziklag
2_sam,יומ,subs,,,,NP,day
2_sam,שׁנימ,subs,,,,,two
2_sam,ו,conj,,,Way0,CP,and
2_sam,היה,verb,qal,wayq,,VP,be
2_sam,ב,prep,,,,PP,in
2_sam,ה,art,,,,,the
2_sam,יומ,subs,,,,,day
2_sam,ה,art,,,,,the
2_sam,שׁלישׁי,adjv,,,,,third
2_sam,ו,conj,,,WXQt,CP,and
2_sam,הנה,intj,,,,InjP,behold
2_sam,אישׁ,subs,,,,NP,man
2_sam,בוא,verb,qal,perf,,VP,come
2_sam,מנ,prep,,,,PP,from
2_sam,ה,art,,,,,the
2_sam,מחנה,subs,,,,,camp
2_sam,מנ,prep,,,,,from
2_sam,עמ,prep,,,,,with
2_sam,שׁאול,nmpr,,,,,Saul
2_sam,ו,conj,,,Ptcp,CP,and
2_sam,בגד,subs,,,,NP,garment
2_sam,קרע,verb,qal,ptcp,,VP,tear
2_sam,ו,conj,,,NmCl,CP,and
2_sam,אדמה,subs,,,,NP,soil
2_sam,על,prep,,,,PP,upon
2_sam,ראשׁ,subs,,,,,head
2_sam,ו,conj,,,Way0,CP,and
2_sam,היה,verb,qal,wayq,,VP,be
2_sam,ב,prep,,,InfC,VP,in
2_sam,בוא,verb,qal,infc,,,come
2_sam,אל,prep,,,,PP,to
2_sam,דוד,nmpr,,,,,David
2_sam,ו,conj,,,Way0,CP,and
2_sam,נפל,verb,qal,wayq,,VP,fall
2_sam,ארצ,subs,,,,AdvP,earth
2_sam,ו,conj,,,Way0,CP,and
2_sam,חוה,verb,hsht,wayq,,VP,bow down
