book,lex,sp,vs,vt,ctyp,ptyp,gloss
lev,ו,conj,,,Way0,CP,and
lev,קרא,verb,qal,wayq,,VP,call
lev,אל,prep,,,,PP,to
lev,משׁה,nmpr,,,,,Moses
lev,ו,conj,,,WayX,CP,and
lev,דבר,verb,piel,wayq,,VP,speak
lev,יהוה,nmpr,,,,PrNP,YHWH
lev,אל,prep,,,,PP,to
lev,מנ,prep,,,,PP,from
lev,אהל,subs,,,,,tent
lev,מועד,subs,,,,,appointment
lev,ל,prep,,,InfC,VP,to
lev,אמר,verb,qal,infc,,,say
lev,דבר,verb,piel,impv,ZIm0,VP,speak
lev,אל,prep,,,,PP,to
lev,בנ,subs,,,,,son
lev,ישׂראל,nmpr,,,,,Israel
lev,ו,conj,,,WQt0,CP,and
lev,אמר,verb,qal,perf,,VP,say
lev,אל,prep,,,,PP,to
lev,אדמ,subs,,,CPen,NP,"human, mankind"
lev,כי,conj,,,xYq0,CP,that
lev,קרב,verb,hif,impf,,VP,approach
lev,מנ,prep,,,,PP,from
lev,קרבנ,subs,,,,NP,offering
lev,ל,prep,,,,PP,to
lev,יהוה,nmpr,,,,,YHWH
lev,מנ,prep,,,xYq0,PP,from
lev,ה,art,,,,,the
lev,בהמה,subs,,,,,cattle
lev,מנ,prep,,,,,from
lev,ה,art,,,,,the
lev,בקר,subs,,,,,cattle
lev,ו,conj,,,,,and
lev,מנ,prep,,,,,from
lev,ה,art,,,,,the
lev,צאנ,subs,,,,,cattle
lev,קרב,verb,hif,impf,,VP,approach
lev,את,prep,,,,PP,<object marker>
lev,קרבנ,subs,,,,,offering
lev,אמ,conj,,,NmCl,CP,if
lev,עלה,subs,,,,NP,burnt-offering
lev,קרבנ,subs,,,,NP,offering
lev,מנ,prep,,,,PP,from
lev,ה,art,,,,,the
lev,בקר,subs,,,,,cattle
lev,זכר,adjv,,,CPen,NP,male
lev,תמימ,adjv,,,,,complete
lev,קרב,verb,hif,impf,ZYq0,VP,approach
lev,אל,prep,,,xYq0,PP,to
lev,פתח,subs,,,,,opening
lev,אהל,subs,,,,,tent
lev,מועד,subs,,,,,appointment
lev,קרב,verb,hif,impf,,VP,approach
lev,את,prep,,,,PP,<object marker>
lev,ל,prep,,,,PP,to
lev,רצונ,subs,,,,,pleasure
lev,ל,prep,,,,PP,to
lev,פנה,subs,,,,,face
lev,יהוה,nmpr,,,,,YHWH
lev,ו,conj,,,WQt0,CP,and
lev,סמכ,verb,qal,perf,,VP,support
lev,יד,subs,,,,NP,hand
lev,על,prep,,,,PP,upon
lev,ראשׁ,subs,,,,,head
lev,ה,art,,,,,the
lev,עלה,subs,,,,,burnt-offering
lev,ו,conj,,,WQt0,CP,and
lev,רצה,verb,nif,perf,,VP,like
lev,ל,prep,,,,PP,to
lev,ל,prep,,,InfC,VP,to
lev,כפר,verb,piel,infc,,,cover
lev,על,prep,,,,PP,upon
lev,ו,conj,,,WQt0,CP,and
lev,שׁחט,verb,qal,perf,,VP,slaughter
lev,את,prep,,,,PP,<object marker>
lev,בנ,subs,,,,,son
lev,ה,art,,,,,the
lev,בקר,subs,,,,,cattle
lev,ל,prep,,,,PP,to
lev,פנה,subs,,,,,face
lev,יהוה,nmpr,,,,,YHWH
lev,ו,conj,,,WQtX,CP,and
lev,קרב,verb,hif,perf,,VP,approach
lev,בנ,subs,,,,NP,son
lev,אהרנ,nmpr,,,,,Aaron
lev,ה,art,,,,,the
lev,כהנ,subs,,,,,priest
lev,את,prep,,,,PP,<object marker>
lev,ה,art,,,,,the
lev,דמ,subs,,,,,blood
lev,ו,conj,,,WQt0,CP,and
lev,זרק,verb,qal,perf,,VP,toss
lev,את,prep,,,,PP,<object marker>
lev,ה,art,,,,,the
lev,דמ,subs,,,,,blood
lev,על,prep,,,,PP,upon
lev,ה,art,,,,,the
lev,מזבח,subs,,,,,altar
lev,סביב,subs,,,,AdvP,surrounding
lev,אשׁר,conj,,,NmCl,CP,<relative>
lev,פתח,subs,,,,NP,opening
lev,אהל,subs,,,,,tent
lev,מועד,subs,,,,,appointment
lev,ו,conj,,,WQt0,CP,and
lev,פשׁט,verb,hif,perf,,VP,strip off
lev,את,prep,,,,PP,<object marker>
lev,ה,art,,,,,the
lev,עלה,subs,,,,,burnt-offering
lev,ו,conj,,,WQt0,CP,and
lev,נתח,verb,piel,perf,,VP,cut
lev,את,prep,,,,PP,<object marker>
lev,ל,prep,,,,PP,to
lev,נתח,subs,,,,,piece
lev,ו,conj,,,WQtX,CP,and
lev,נתנ,verb,qal,perf,,VP,give
lev,בנ,subs,,,,NP,son
lev,אהרנ,nmpr,,,,,Aaron
lev,ה,art,,,,,the
lev,כהנ,subs,,,,,priest
lev,אשׁ,subs,,,,NP,fire
lev,על,prep,,,,PP,upon
lev,ה,art,,,,,the
lev,מזבח,subs,,,,,altar
lev,ו,conj,,,WQt0,CP,and
lev,ערכ,verb,qal,perf,,VP,arrange
lev,עצ,subs,,,,NP,tree
lev,על,prep,,,,PP,upon
lev,ה,art,,,,,the
lev,אשׁ,subs,,,,,fire
lev,ו,conj,,,WQtX,CP,and
lev,ערכ,verb,qal,perf,,VP,arrange
lev,בנ,subs,,,,NP,son
lev,אהרנ,nmpr,,,,,Aaron
lev,ה,art,,,,,the
lev,כהנ,subs,,,,,priest
lev,את,prep,,,,PP,<object marker>
lev,ה,art,,,,,the
lev,נתח,subs,,,,,piece
lev,את,prep,,,,,<object marker>
lev,ה,art,,,,,the
lev,ראשׁ,subs,,,,,head
lev,ו,conj,,,,,and
lev,את,prep,,,,,<object marker>
lev,ה,art,,,,,the
lev,פדר,subs,,,,,kidney-fat
lev,על,prep,,,,PP,upon
lev,ה,art,,,,,the
lev,עצ,subs,,,,,tree
lev,אשׁר,conj,,,NmCl,CP,<relative>
lev,על,prep,,,,PP,upon
lev,ה,art,,,,,the
lev,אשׁ,subs,,,,,fire
lev,אשׁר,conj,,,NmCl,CP,<relative>
lev,על,prep,,,,PP,upon
lev,ה,art,,,,,the
